path	size_bytes	compressed_bytes
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Size4/Regular/Main.js	2427	1077
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Size5/Regular/Main.js	2443	1081
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Size6/Regular/Main.js	10781	2823
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Symbols/Regular/Main.js	2525	1100
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Variants/Regular/Main.js	1325	684
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/fontdata-extra.js	11489	2663
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/fontdata.js	13013	3701
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Alphabets/Regular/Main.js	1497	813
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Arrows/Regular/Main.js	1936	919
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/DoubleStruck/Regular/Main.js	3081	1179
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Fraktur/Regular/Main.js	4026	1868
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Latin/Regular/Main.js	7699	2456
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Main/Regular/Main.js	13822	4708
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Marks/Regular/Main.js	3053	1394
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Misc/Regular/Main.js	1200	691
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Monospace/Regular/Main.js	2908	1144
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/NonUnicode/Regular/Main.js	54915	18281
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Normal/Regular/Main.js	10378	3735
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Operators/Regular/Main.js	3363	1337
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/SansSerif/Regular/Main.js	10489	3503
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Script/Regular/Main.js	2603	1261
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Shapes/Regular/Main.js	2188	1052
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Size1/Regular/Main.js	5879	1980
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Size2/Regular/Main.js	2399	1100
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Size3/Regular/Main.js	2405	1106
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Size4/Regular/Main.js	2452	1100
assets/MathJax/jax/output/HTML-CSS/fonts/Latin-Modern/Size5/Regular/Main.js	2428	1099
